cts1.0,20080212,050052.2432350,  5650,  4090,  5560,  3900,  9660,1695,  4,  2,  4,  2,  1
cts1.0,20080212,050152.3014560,  5670,  3980,  5600,  3920,  9900,1654,  3,  1,  3,  1,  0
cts1.0,20080212,050252.2802670,  5870,  4100,  5630,  4020,  9700,1713,  0,  0,  1,  0,  0
cts1.0,20080212,050352.3293080,  5700,  4160,  5580,  3910,  9020,1700,  2,  2,  1,  2,  1
cts1.0,20080212,050452.2934360,  5750,  4280,  5670,  3800,  8910,1803,  2,  2,  3,  1,  1
cts1.0,20080212,050552.2385840,  5820,  4150,  5690,  3900,  9250,1735,  3,  4,  4,  4,  1
cts1.0,20080212,050652.3157360,  5570,  4170,  5680,  3840,  9780,1704,  2,  8,  3,  4,  1
cts1.0,20080212,050752.3385880,  5620,  4160,  5660,  3890,  9560,1709,  1,  2,  3,  0,  0
cts1.0,20080212,050852.2936550,  5810,  4120,  5780,  3940,  9060,1676,  3,  3,  1,  1,  0
cts1.0,20080212,050952.2548090,  5710,  4160,  5700,  3920,  8880,1757,  4,  4,  5,  3,  2
cts1.0,20080212,051052.3006970,  5880,  4240,  5700,  3820,  8290,1780,  1,  2,  1,  1,  1
cts1.0,20080212,051152.2437360,  5740,  4080,  5620,  3810,  8610,1704,  1,  0,  0,  0,  0
cts1.0,20080212,051252.2906390,  5850,  3940,  5610,  3850,  8790,1650,  1,  1,  1,  0,  0
cts1.0,20080212,051352.3377670,  5920,  4080,  5780,  3870,  9140,1740,  1,  0,  1,  0,  0
cts1.0,20080212,051452.2695570,  5880,  4110,  5720,  3850,  8430,1734,  2,  1,  1,  0,  0
cts1.0,20080212,051552.3316530,  5690,  4250,  5630,  3830,  9370,1723,  5,  2,  3,  2,  0
cts1.0,20080212,051652.3057900,  5810,  4100,  5850,  3990,  9600,1732,  6,  4,  3,  3,  1
cts1.0,20080212,051752.2610630,  5860,  4180,  5620,  3780,  9370,1734,  5,  4,  3,  4,  1
cts1.0,20080212,051852.3370660,  5820,  4090,  5640,  3800,  9660,1744,  4,  1,  1,  1,  1
cts1.0,20080212,051952.2841800,  5990,  4170,  5650,  3900,  9070,1751,  0,  1,  1,  1,  0
cts1.0,20080212,052052.3293480,  5850,  4140,  5670,  3760,  9010,1709,  5,  3,  2,  2,  0
cts1.0,20080212,052152.2883180,  6100,  4370,  5840,  3920,  9070,1815,  1,  1,  2,  0,  0
cts1.0,20080212,052252.2474680,  5810,  4170,  5640,  3890,  8960,1680,  3,  0,  2,  0,  0
cts1.0,20080212,052352.2995980,  5930,  4130,  5780,  3890,  8720,1715,  7,  3,  4,  5,  1
cts1.0,20080212,052452.2686360,  5930,  4110,  5640,  3890,  9060,1727,  3,  3,  3,  2,  1
cts1.0,20080212,052552.3228090,  5910,  4110,  5640,  3770,  8700,1698,  2,  3,  5,  2,  1
cts1.0,20080212,052652.3419300,  5690,  4110,  5740,  3890,  7490,1707,  2,  0,  1,  0,  0
cts1.0,20080212,052752.3198150,  5880,  4130,  5700,  3890,  8070,1736,  1,  0,  1,  1,  0
cts1.0,20080212,052852.2469420,  5770,  4070,  5620,  3780,  8250,1667,  1,  1,  1,  0,  0
cts1.0,20080212,052952.3039180,  6000,  4090,  5810,  3810,  7690,1689,  3,  1,  2,  1,  0
cts1.0,20080212,053052.3171510,  5800,  4200,  5820,  3900,  8690,1698,  3,  3,  2,  3,  0
cts1.0,20080212,053152.2719600,  5820,  4260,  5620,  3760,  8980,1755,  0,  1,  2,  0,  0
cts1.0,20080212,053252.3119340,  6000,  4230,  5720,  3910,  8850,1763,  3,  3,  4,  1,  1
cts1.0,20080212,053352.2670660,  5890,  4210,  5790,  3990,  8800,1745,  4,  3,  7,  2,  1
cts1.0,20080212,053452.3131770,  5960,  4140,  5710,  3850,  9030,1755,  1,  2,  1,  1,  0
cts1.0,20080212,053552.2831740,  5790,  4140,  5780,  3870,  8330,1677,  3,  0,  4,  2,  0
cts1.0,20080212,053652.3062490,  5900,  4020,  5740,  3750,  8740,1684,  0,  0,  1,  0,  0
cts1.0,20080212,053752.2572570,  5830,  4090,  5680,  3950,  9020,1708,  2,  2,  1,  2,  1
cts1.0,20080212,053852.3124590,  5770,  4190,  5890,  3850,  8360,1737,  0,  0,  1,  0,  0
